ArXiV id,Contains GitHub URL,GitHub URL,GitHub repo contains ArXiV URL,Contains Zenodo URL,Zenodo URL,Zenodo record contains ArXiV URL
2308.10228,Found,https://github.com/SceneDroid/SceneDroid,Missing,Missing,,
2307.13777,Found,https://github.com/datasetsharing/pytorchbugdataset,Missing,Missing,,
2308.09932,Found,https://github.com/Workiva/frugal,Missing,Missing,,
2308.09876,Found,https://github.com/HCDLab/UsabilityIssuesSupplementaryMaterial,Missing,Missing,,
2308.15645,Found,https://github.com/katsumiok/ts-askit,Found,Missing,,
2309.09308,,,,,,
2309.01866,Found,https://github.com/gnipping/AdvDroidZero-Access-Instructions,Missing,Missing,,
2309.01805,Found,https://github.com/kubernetes/apiserver,Missing,Missing,,
2308.00452,Found,https://github.com/alevine0/patchSmoothing,Missing,Missing,,
2307.11305,Found,https://github.com/Qiskit/qiskit-machine-learning,Missing,Missing,,
2310.12337,Found,https://github.com/herd/herdtools7,Missing,Missing,,
2308.11526,Found,https://github.com/huggingface/transformers,Missing,Missing,,
2308.08263,,,,,,
2309.07103,Found,https://github.com/mustafalail/Llama-2-70b-HPC-Kernels,Missing,Missing,,
2308.10576,Missing,,,Found,https://zenodo.org/api/records/4266643,Missing
2308.05014,Found,https://github.com/tensorflow/federated,Missing,Missing,,
2310.05223,Found,https://github.com/cloverzrg/cosmos-sdk-java,Missing,Missing,,
2309.07181,,,,,,
2310.13229,Found,https://github.com/coinse/GHRB,Found,Missing,,
2308.12773,Found,https://github.com/duyali2000/SemanticFlowGraph,Found,Missing,,
2307.02503,Found,https://github.com/ethancaballero/description2code,Missing,Missing,,
2302.05564,Missing,,,Found,https://zenodo.org/api/records/7135611,Missing
2303.10131,Missing,,,Found,https://zenodo.org/api/records/7745436,Missing
2310.06912,Found,https://github.com/tensorflow/tensorflow,Missing,Missing,,
2309.01571,Found,https://github.com/biankabakullari/hlem-framework,Missing,Missing,,
2309.02594,Missing,,,Found,https://zenodo.org/api/records/7869667,Missing
2310.01726,Found,https://github.com/squaresLab/LLMAO,Found,Missing,,
2309.15606,,,,,,
2309.15742,Found,https://github.com/matiasb/python-unidiff,Missing,Missing,,
2308.15046,Found,https://github.com/ZXXYy/rust_ecosystem,Missing,Missing,,
2308.04787,Found,https://github.com/apache/incubator-teaclave-sgx-sdk,Missing,Missing,,
2309.02206,Found,https://github.com/qfournier/syscall_novelty_detection,Missing,Missing,,
2308.12211,Found,https://github.com/microsoft/50BusinessAssignmentsLog,Missing,Missing,,
2308.12701,Found,https://github.com/apache/kafka,Missing,Missing,,
2307.05520,Missing,,,Found,https://zenodo.org/api/records/7828519,Missing
2308.11082,Missing,,,Found,https://zenodo.org/api/records/7900928,Missing
2307.11379,,,,,,
2309.06229,Found,https://github.com/SophieHYe/PreciseBugs,Missing,Missing,,
2308.02955,Found,https://github.com/ConsenSys/mythril,Missing,Missing,,
2308.04898,Found,https://github.com/cncf/tag-security,Missing,Missing,,
2308.15084,Found,https://github.com/SEALABQualityGroup/uml-reliability,Missing,Missing,,
2308.07610,Found,https://github.com/ggerganov/llama.cpp,Missing,Missing,,
2310.01566,Found,https://github.com/logpai/loghub,Missing,Missing,,
2310.14843,Found,https://github.com/mauricioms/results-generated-with-chatgpt,Missing,Missing,,
2308.06782,Found,https://github.com/sullo/nikto,Missing,Missing,,
2309.03567,Found,https://github.com/soarsmu/LT4Code,Missing,Missing,,
2306.14893,,,,,,
2308.09940,Found,https://github.com/trentm/python-markdown2,Missing,Found,https://zenodo.org/api/records/8265001,Missing
2307.09950,Found,https://github.com/logpai/loghub,Missing,Missing,,
2308.14663,Found,https://github.com/JulianePa/auv_profeat,Missing,Missing,,
2310.05505,Found,https://github.com/mascarenhasav/AbCD,Missing,Missing,,
2308.14273,Found,https://github.com/salab/refsearch,Found,Missing,,
2310.15642,Found,https://github.com/Nfsaavedra/crawlergpt,Missing,Missing,,
2307.07686,Found,https://github.com/bin123apple/Fortran-CPP-HPC-code-translation-dataset,Found,Missing,,
2308.09324,,,,,,
2307.11502,Found,https://github.com/QMCPACK/qmcpack,Missing,Missing,,
2303.09727,Found,https://github.com/newism/craft3-fields,Missing,Missing,,
2310.15780,Found,https://github.com/testinging6/GPTDroid,Missing,Missing,,
2310.16253,Found,https://github.com/appmlk/ConDefects,Missing,Missing,,
2310.03046,Found,https://github.com/JieyuZ2/EcoAssistant,Missing,Missing,,
2310.04701,,,,,,
2308.09038,Found,https://github.com/microsoft/vscode,Missing,Found,https://zenodo.org/api/records/7915841,Missing
2308.09660,Found,https://github.com/ddnexus/pagy,Missing,Missing,,
2309.04197,Missing,,,Found,https://zenodo.org/api/records/6719258,Missing
2308.13276,Found,https://github.com/KKZ20/DECIDE,Found,Missing,,
2307.06408,Found,https://github.com/pierg/fact-fortress-circuits,Missing,Missing,,
2307.04291,Found,https://github.com/actions/upload-artifact,Missing,Missing,,
2308.02828,Found,https://github.com/fyrestone/pycode_similar,Missing,Missing,,
2307.01691,Found,https://github.com/Cpp4App/Cpp4App,Missing,Missing,,
2310.07414,Missing,,,Found,https://zenodo.org/api/records/8202317,Missing
2309.04076,,,,,,
2308.13875,,,,,,
2309.04583,Found,https://github.com/codingsoo/ARAT-RL,Missing,Missing,,
2309.09264,Found,https://github.com/mosh98/AutoGrade,Missing,Missing,,
2306.15604,Found,https://github.com/ynklab/XCodeSearchNet,Missing,Missing,,
2309.11021,Found,https://github.com/lxyeternal/pypi_malregistry,Missing,Missing,,
2308.07930,Found,https://github.com/mtappler/prob-black-reach,Missing,Found,https://zenodo.org/api/records/7997524,Missing
2308.09810,Found,https://github.com/mathigatti/sexting-dataset,Missing,Missing,,
2310.05472,Missing,,,Found,https://zenodo.org/api/records/7870623,Missing
2308.04736,Found,https://github.com/mvasiliniuc/iva-codeint-mobile,Found,Missing,,
2308.12387,Missing,,,Found,https://zenodo.org/api/records/8277429,Missing
2309.13574,Found,https://github.com/calabash/calabash-android,Missing,Missing,,
